latitude,longitude,time
-37.6264,148.00157,2019-11-27 0412
-38.17971,146.16528,2019-11-27 0412
-37.62279,148.02143999999998,2019-11-27 0412
-37.62721,148.01752,2019-11-27 0412
-37.62811,148.01256,2019-11-27 0412
-37.62992,148.00258,2019-11-27 0412
-37.6263,148.02246,2019-11-27 0412
-37.628009999999996,148.03351,2019-11-27 0412
-37.62892,148.02848999999998,2019-11-27 0412
-37.6254,148.02743999999998,2019-11-27 0412
-37.6448,148.02271000000002,2019-11-27 0412
-37.640390000000004,148.02661,2019-11-27 0412
-37.63153,148.03452,2019-11-27 0412
-37.646640000000005,148.02127,2019-11-27 0412
-37.62369,148.01648,2019-11-27 0412
-37.63244,148.0295,2019-11-27 0412
-37.616170000000004,147.91536000000002,2019-11-27 0412
-37.61269,147.91422,2019-11-27 0412
-37.6336,147.9619,2019-11-27 0412
-37.63171,147.99272,2019-11-27 0412
-37.63796,147.97867,2019-11-27 0412
-37.63705,147.98367,2019-11-27 0412
-37.65275,148.01978,2019-11-27 0412
-37.67774,147.99331999999998,2019-11-27 0412
-37.682159999999996,147.98944,2019-11-27 0412
-37.68125,147.99438,2019-11-27 0412
-37.68566,147.99052,2019-11-27 0412
-37.61802,147.90524,2019-11-27 0412
-37.61258,147.91333,2019-11-27 1354
-37.676829999999995,147.98848999999998,2019-11-27 1354
-37.65507,148.01836,2019-11-27 1354
-37.65847,148.02109,2019-11-27 1354
-37.6801,147.99118,2019-11-27 1354
-37.63575,147.95959,2019-11-27 1354
-37.63525,148.03003,2019-11-27 1354
-37.62308,148.01707,2019-11-27 1354
-37.62701,148.00502,2019-11-27 1354
-37.3394,148.36296000000002,2019-11-27 1354
-37.35239,147.9496,2019-11-27 1530
-37.35188,147.94433999999998,2019-11-27 1530
-37.40323,147.96115,2019-11-27 1530
-37.402359999999994,147.95195,2019-11-27 1530
-37.41805,147.58768999999998,2019-11-27 1530
-36.5509,147.27516,2019-11-27 1530
-36.55538,147.27846,2019-11-27 1530
-36.55983,147.28151,2019-11-27 1530
-36.560179999999995,147.24636999999998,2019-11-27 1530
-36.56385,147.28053,2019-11-27 1530
-36.5643,147.28477,2019-11-27 1530
-36.55885,147.27879,2019-11-27 1530
-36.55927,147.28282,2019-11-27 1530
-36.5598,147.24765,2019-11-27 1530
-36.56329,147.28186000000002,2019-11-27 1530
-36.56731,147.28083999999998,2019-11-27 1530
-36.57091,147.27565,2019-11-27 1530
-36.571329999999996,147.27979,2019-11-27 1530
-36.57496,147.27495,2019-11-27 1530
-36.57902,147.27428,2019-11-27 1530
-36.62317,147.2625,2019-11-27 1530
-36.62274,147.2585,2019-11-27 1530
-36.62357,147.2664,2019-11-27 1530
-36.62596,147.24982,2019-11-27 1530
-36.62638,147.25386,2019-11-27 1530
-36.6268,147.25787,2019-11-27 1530
-36.62721,147.2618,2019-11-27 1530
-36.55938,147.2435,2019-11-27 1530
-36.54811,147.17282,2019-11-27 1530
-36.5521,147.17181000000002,2019-11-27 1530
-36.54795,147.1718,2019-11-27 1530
-36.55195,147.17078999999998,2019-11-27 1530
-36.58886,147.17064,2019-11-27 1530
-36.592909999999996,147.17023,2019-11-27 1530
-36.6105,147.14255,2019-11-27 1530
-36.61458,147.14235,2019-11-27 1530
-37.62634,147.89691000000002,2019-11-27 1530
-37.61878,147.90822,2019-11-27 1530
-37.61499,147.91374,2019-11-27 1530
-37.6145,147.90849,2019-11-27 1530
