latitude,longitude,time
-33.053000000000004,150.404,2019-10-28 0010
-33.051,150.393,2019-10-28 0010
-33.064,150.362,2019-10-28 0425
-33.068000000000005,150.368,2019-10-28 0425
-33.055,150.364,2019-10-28 0425
-33.049,150.39,2019-10-28 0425
-33.059,150.388,2019-10-28 0425
-33.797,150.871,2019-10-29 0330
-33.07,150.421,2019-10-29 0330
-33.044000000000004,150.351,2019-10-29 0330
-33.042,150.368,2019-10-29 0330
-33.041,150.36,2019-10-29 0330
-33.059,150.42,2019-10-29 0330
-33.052,150.386,2019-10-29 0330
-33.083,150.407,2019-10-29 0330
-33.747,151.111,2019-10-29 0330
-33.816,150.793,2019-10-29 0330
-33.043,150.344,2019-10-29 0330
-33.071999999999996,150.405,2019-10-29 0330
-33.080999999999996,150.423,2019-10-29 0330
-33.061,150.433,2019-10-30 1515
-33.093,150.409,2019-10-30 1515
-33.102,150.408,2019-10-30 1515
-33.038000000000004,150.365,2019-10-31 0040
-33.096,150.36,2019-10-31 0040
-33.082,150.361,2019-10-31 0040
-33.099000000000004,150.39,2019-10-31 0040
-33.037,150.37,2019-10-31 0040
-33.06,150.416,2019-10-31 0320
-33.092,150.366,2019-10-31 0320
-33.053000000000004,150.424,2019-10-31 1245
-33.046,150.411,2019-10-31 1245
-33.038000000000004,150.33700000000002,2019-10-31 1245
-33.037,150.34799999999998,2019-10-31 1245
-33.089,150.431,2019-10-31 1245
-33.045,150.423,2019-10-31 2345
-33.094,150.34799999999998,2019-11-01 0405
-33.084,150.346,2019-11-01 0405
-33.114000000000004,150.371,2019-11-01 0405
-33.103,150.35,2019-11-01 0405
-33.052,150.425,2019-11-01 0405
-33.092,150.36,2019-11-01 0405
-33.122,150.386,2019-11-01 0405
-33.054,150.41299999999998,2019-11-01 0405
-33.12,150.398,2019-11-01 0405
-33.056,150.401,2019-11-01 0405
-33.108000000000004,150.408,2019-11-01 0405
-33.101,150.362,2019-11-01 0405
-33.035,150.346,2019-11-01 0405
-33.058,150.327,2019-11-01 0405
-33.077,150.332,2019-11-01 0405
-33.086,150.334,2019-11-01 0405
-33.096,150.336,2019-11-01 0405
-33.037,150.335,2019-11-01 0405
-33.116,150.36,2019-11-01 0405
-33.095,150.429,2019-11-01 0405
-33.118,150.34799999999998,2019-11-01 0405
-33.11,150.39600000000002,2019-11-01 0405
-33.097,150.417,2019-11-01 0405
-33.111999999999995,150.384,2019-11-01 0405
-33.046,150.398,2019-11-01 0405
-33.109,150.346,2019-11-01 0405
-33.106,150.42,2019-11-01 0405
-33.044000000000004,150.41,2019-11-01 0405
-33.107,150.357,2019-11-01 0405
-33.118,150.41,2019-11-01 0405
-33.11,150.42600000000002,2019-11-01 1505
-33.111999999999995,150.379,2019-11-01 1505
-33.115,150.401,2019-11-01 1505
-33.117,150.41299999999998,2019-11-01 1505
-33.108000000000004,150.415,2019-11-01 1505
-33.113,150.39,2019-11-01 1505
-33.048,150.434,2019-11-01 1505
-33.12,150.36700000000002,2019-11-02 1235
-33.122,150.35399999999998,2019-11-02 1235
-33.128,150.374,2019-11-02 1235
-33.138000000000005,150.376,2019-11-02 1235
-33.111999999999995,150.42700000000002,2019-11-02 1235
-33.12,150.359,2019-11-02 1235
-33.114000000000004,150.421,2019-11-02 1235
-33.119,150.381,2019-11-02 1235
-33.042,150.424,2019-11-02 1235
-33.091,150.445,2019-11-02 1235
-33.102,150.433,2019-11-02 1235
-33.134,150.416,2019-11-02 1235
-33.126999999999995,150.388,2019-11-02 1235
-33.14,150.362,2019-11-02 1235
-33.13,150.361,2019-11-02 1235
-33.105,150.451,2019-11-06 0005
-33.817,150.797,2019-11-06 0005
-33.938,150.935,2019-11-06 0005
-33.775999999999996,150.957,2019-11-06 0005
-33.86,150.968,2019-11-06 0005
-33.103,150.453,2019-11-06 1210
-33.101,150.46,2019-11-06 1210
-33.108000000000004,150.44899999999998,2019-11-06 1525
-33.098,150.451,2019-11-06 1525
-33.109,150.46200000000002,2019-11-06 1525
-33.1,150.464,2019-11-06 1525
-33.086,150.434,2019-11-07 0045
-33.098,150.50799999999998,2019-11-07 0045
-33.096,150.466,2019-11-07 0045
-33.115,150.506,2019-11-07 0045
-33.111999999999995,150.464,2019-11-07 0045
-33.088,150.475,2019-11-07 0045
-33.119,150.459,2019-11-07 0050
-33.121,150.5,2019-11-07 0050
